buoy,day,latitude,longitude,zon.winds,mer.winds,humidity,air.temp,s.s.temp
1,2,8.95,-140.32,-5.7,-3.6,86.4,26.701407564295,27.62
1,3,8.96,-140.32,-6.2,-5.8,83,27.3613432724453,27.68
1,4,8.96,-140.34,-6.4,-5.3,82.2,27.3212336642782,27.7
1,5,8.96,-140.33,-4.9,-6.2,87.3,27.0910889958702,27.85
1,6,8.96,-140.33,-6.3,-4.9,91.5,26.8219224539553,27.98
1,7,8.97,-140.32,-6.7,-3.7,94.1,26.6214598212072,28.04
1,8,8.96,-140.33,-6.3,-4.8,92,26.8910869970361,27.98
1,9,8.97,-140.33,-6.3,-4.9,86.9,27.44118032508,28.13
1,10,8.97,-140.32,-4.2,-2.5,87.3,26.6218775561557,28.14
1,11,8.96,-140.32,-6.8,-2.4,86,27.6010983561552,28.09
1,12,8.96,-140.33,-7.1,-3.2,82.2,27.8715986795747,28.15
1,13,8.96,-140.33,-6.7,-4.7,81.3,27.7511171158864,28.19
2,1,4.93,-139.87,-2.9,-1.2,87.6,26.8414798887211,28.35
2,2,4.92,-139.86,0.4,-1.6,82.3,27.3010469108946,28.48
2,3,4.92,-139.87,-4,-4.6,83,28.0013846712101,28.61
2,4,4.92,-139.88,-6.3,-3.2,87.6,27.6116063841779,28.55
2,5,4.93,-139.87,-4.1,3.3,84.6,27.6918017828695,28.35
2,6,4.93,-139.87,-5.4,1.9,81.9,27.961466410175,28.48
2,7,4.93,-139.86,-4.7,0.9,80.3,28.081035287638,28.54
2,8,4.92,-139.87,-2.5,-0.9,84.2,27.6116429672972,28.72
2,9,4.93,-139.87,-5.1,2,84.6,27.4219534115873,28.66
2,10,4.93,-139.86,-1.3,0.7,80,27.651499473558,28.73
2,11,4.93,-139.85,-5.4,-1.2,83.4,27.8914897821422,28.84
2,12,4.93,-139.86,-6.2,-4,82.7,27.7713325096138,28.63
2,13,4.93,-139.87,-4.8,2.6,82.3,27.4218542837317,28.48
3,1,2,-139.95,-0.3,3.2,86.8,27.1011177062229,27.85
3,2,2,-139.96,-1.6,1.1,83.6,27.421435628704,28.06
3,3,1.99,-139.97,-3.9,-2.5,87.5,27.3018220556569,28.01
3,4,1.98,-139.96,-4.7,1.4,88.3,26.9812466001739,27.95
3,5,1.99,-139.97,-5.3,2.5,82.5,27.1414201916712,27.99
3,6,2,-139.97,-6.8,0.5,82.8,27.4612224258457,27.89
3,7,2,-139.97,-5.6,0.5,84,27.0213472957772,27.49
3,8,2,-139.96,-3.4,2,87.2,26.5511431136739,27.27
3,9,2,-139.97,-4.5,2.3,82.1,25.5910165155921,26.97
3,10,2,-139.96,-4.1,0.4,79.3,25.4714969637746,27.07
3,11,1.99,-139.97,-5.8,0.7,83.2,26.2714539470819,27.37
3,12,2,-139.97,-7.2,2.8,83.2,26.2312277281599,27.26
3,13,2,-139.98,-5.8,0.5,78.1,25.7911452873005,27.1
3,14,2,-139.99,-5.4,-0.4,77.8,25.9117830675964,26.85
4,1,-0.01,-139.94,0.7,0.3,93.1,26.5417198150931,26.42
4,2,-0.02,-139.93,-1.5,-0.4,92.3,26.5114984484387,26.49
4,3,-0.01,-139.94,-3.4,-1.4,92.3,26.5313822337298,26.42
4,4,-0.02,-139.94,-4.3,1.3,92.3,26.1816271443507,26.02
4,5,-0.02,-139.94,-3.7,0.4,92.3,25.7914774259443,25.77
4,6,-0.01,-139.94,-5.1,-2.5,92.3,26.0311925732028,25.7
4,7,-0.02,-139.94,-5.4,-2.1,88.1,25.5019022532059,25.15
4,8,-0.02,-139.94,-3.6,-0.6,90.4,25.0411144594993,24.82
4,9,-0.02,-139.94,-3.3,0.3,88.8,24.6314801545914,24.51
4,10,-0.02,-139.93,-3,-2.7,87.3,24.511838823888,24.36
4,11,-0.02,-139.93,-4.7,-1,90.4,24.1912828814103,24.15
4,12,-0.02,-139.93,-5.2,0.2,87.3,24.0215353833537,24.1
4,13,-0.01,-139.94,-4.7,-1,88.4,24.2116184673433,24.15
5,1,-2.02,-139.96,1.7,1.2,87.3,27.3616148064646,28.71
5,2,-2,-139.96,-1.1,-1.9,86.9,27.2812864093969,28.43
5,3,-2.01,-139.97,-3.7,-2.7,84.8,27.4316525664371,28.47
5,4,-2.01,-139.97,-4.4,-3,81.9,27.7515620392289,28.83
5,5,-2.02,-139.97,-3.9,-1.4,83.6,27.9111751825961,28.92
5,6,-2.02,-139.96,-5.8,-3.4,88.9,27.7515089206693,28.71
5,7,-2.03,-139.97,-4.5,-5.2,87.7,27.081614521706,28.27
5,8,-2.02,-139.97,-3.6,-4.5,83.1,26.6014444286337,27.7
5,9,-2.02,-139.96,-2.6,-2.3,84.4,26.4112657370984,27.27
5,10,-2.02,-139.96,-1.2,-5.1,88.5,25.9310441443806,27
5,11,-2.01,-139.96,-4,-4.3,84.4,25.5416900736503,26.77
5,12,-2.01,-139.96,-4,-3.1,84.8,25.6911343592755,26.87
5,13,-2.02,-139.96,-2.8,-4.5,89.3,25.6119978266894,26.86
6,1,-5.01,-139.92,-0.6,3.5,83.8,28.0215819128733,28.94
6,2,-5.01,-139.91,0.2,-2.5,85.4,27.131594230046,28.85
6,3,-5.01,-139.92,-3.9,-3.4,79.8,28.3815851301816,29.03
6,4,-5.01,-139.92,-4.2,-2.5,79.4,28.1813996453716,28.98
6,5,-5.01,-139.92,-3,0.3,82.6,27.8714075336875,29.04
6,6,-5.01,-139.92,-7.9,1.1,78.6,28.4518765342427,29.08
6,7,-5.01,-139.92,-5.5,0.5,76.1,28.5317485824265,29.15
6,8,-5.01,-139.92,-3.1,-1.7,85.8,27.161652349907,29.05
6,9,-5.01,-139.91,-3.5,-0.8,84.2,27.481664970729,28.99
6,10,-5.01,-139.92,-3.3,-0.7,81.8,27.9117856842217,29.05
6,11,-5,-139.91,-2.8,-4.9,79.8,28.0218517398126,29
6,12,-5.01,-139.92,-4,-1.5,82.2,27.5910135044016,28.95
6,13,-5.01,-139.92,-7.8,1,76.1,28.341566822635,28.88
7,1,5.15,-124.87,-4.8,2.5,90.9,27.8515113180312,28.71
7,2,5.14,-124.86,-2.2,4,86.6,28.331614257582,28.64
7,3,5.14,-124.87,-1.6,0.5,88.5,27.3713949300211,28.66
7,4,5.15,-124.87,-3,1.8,89.3,27.5317361933705,28.68
7,5,5.14,-124.87,-4.6,3.3,83.1,27.811182715964,28.61
7,6,5.14,-124.87,-4.9,1.6,84.6,28.0117688887594,28.62
7,7,5.14,-124.87,-4.6,2.4,88.5,27.4514732321727,28.77
7,8,5.15,-124.87,-2.2,5.1,86.2,27.2518175837563,28.81
7,9,5.14,-124.87,-1.8,3.8,83.1,27.5312514141763,28.79
7,10,5.14,-124.87,-3.8,3.4,81.1,27.2913361202914,28.75
7,11,5.14,-124.87,-4.2,2.4,80.3,27.5315552317947,28.7
7,12,5.14,-124.87,-3.4,2.1,80.3,27.3710358968652,28.83
7,13,5.14,-124.87,-3.4,3.1,81.1,27.2910505881326,28.93
8,1,1.95,-125.07,-7.1,1.1,79.5,27.1411167616288,27.9
8,2,1.96,-125.07,-3.4,1.6,79.1,26.9418172697648,27.12
8,3,1.94,-125.07,-3.5,0.8,84.9,26.6210216909531,27.03
8,4,1.95,-125.07,-5.8,1.5,84.9,25.8918809112904,26.18
8,5,1.96,-125.07,-4.9,2.2,84.1,25.2917781595157,25.82
8,6,1.95,-125.07,-5.9,0.7,81.6,25.2119893200586,25.56
8,7,1.94,-125.07,-6,1.4,81.2,24.8516349630023,25.55
8,8,1.95,-125.07,-4.7,2,82.4,24.4517893720055,25.34
8,9,1.95,-125.07,-4.7,2,82.8,24.4117145386492,25.05
8,10,1.96,-125.07,-4.7,1.2,81.2,24.4911000965773,24.91
8,11,1.95,-125.07,-4.6,0.7,82.8,24.4912125819766,24.84
8,12,1.94,-125.07,-4.7,1.2,80.3,24.0817323670897,24.92
8,13,1.96,-125.07,-4.5,1.1,79.9,23.8414464255928,25.26
9,1,-0.2,-124.37,-3.6,0,89.8,25.0911901092329,24.62
9,2,-0.21,-124.37,-0.3,-0.6,89.4,25.3915261087758,24.82
9,3,-0.22,-124.36,-1,-0.9,89.4,25.7515127342043,25.59
9,4,-0.21,-124.39,-4.2,1,85.6,25.5416121907141,25.21
9,5,-0.2,-124.39,-3.6,1.2,85.2,25.1313695058404,24.71
9,6,-0.2,-124.39,-4.3,-0.1,84.4,24.7017821861547,24.1
9,7,-0.2,-124.4,-3.8,0,85.6,24.0312393508477,23.72
9,8,-0.19,-124.39,-3.1,-0.7,84.4,23.9413401357881,23.82
9,9,-0.2,-124.39,-3.2,-0.3,84.4,23.8710739588805,23.7
9,10,-0.2,-124.38,-2.6,-1.2,86.5,23.5919229829761,23.28
9,11,-0.19,-124.38,-3.5,-0.6,84.8,23.2815844917214,22.79
9,12,-0.19,-124.39,-3.1,0.7,84.4,22.7214734492819,22.44
9,13,-0.19,-124.38,-3.6,0,84.8,22.7411646885239,22.56
10,1,-2.03,-124.89,-5.3,-1.8,87,27.0619524630525,27.32
10,2,-2.03,-124.89,-0.6,-2.4,89.9,26.5113676588123,27.18
10,3,-2.04,-124.88,-0.3,-3.2,91.2,26.1216564403793,26.87
10,4,-2.02,-124.89,-4,-1,89.5,26.4311185109366,26.82
10,5,-2.03,-124.89,-4.6,-1.3,86.2,26.6717075513045,27.19
10,6,-2.04,-124.9,-6.4,-2.8,82.5,26.7118369559506,27.13
10,7,-2.04,-124.9,-5.9,-2,81.3,26.3118438349236,26.91
10,8,-2.04,-124.9,-3.2,-2.7,85.4,25.9215321281408,26.7
10,9,-2.04,-124.89,-4.4,-1.3,84.6,25.761865564998,26.17
10,10,-2.04,-124.89,-3.6,-2.2,87,25.5714782602889,25.98
10,11,-2.04,-124.89,-3,-3.5,87.9,25.0616468267113,25.81
10,12,-2.04,-124.89,-3.9,-1.8,83.3,25.0616159877486,25.41
10,13,-2.03,-124.89,-2.7,-3.2,87.5,24.9018561878605,25.42
11,1,-5.02,-124.94,-7.2,-0.9,87.1,28.0912122610919,28.19
11,2,-5.01,-124.94,-6,0.1,85.6,28.3616318802489,28.23
11,3,-5.02,-124.94,-6.7,-0.2,83,28.3219392336744,28.32
11,4,-5.01,-124.94,-6,1.4,79.6,28.1716235814216,28.26
11,5,-5.01,-124.94,-5.3,0.6,84.5,27.5115465445947,28.41
11,6,-5.01,-124.94,-7.2,-2.8,82.2,28.0515170352298,28.46
11,7,-5.02,-124.94,-5.5,-3.5,80,27.8914053903085,28.42
11,8,-5.02,-124.95,-4.5,-2.2,83.4,27.8218156000448,28.25
11,9,-5.02,-124.93,-2.5,-3.8,81.9,27.7010880344741,28.22
11,10,-5.02,-124.94,-4.5,-3.7,80.7,27.9715460480819,28.17
11,11,-5.02,-124.94,-2.8,-1.3,79.2,27.741238703992,28.32
11,12,-5.02,-124.93,-5.7,-2,85.2,27.0010485625817,28.21
11,13,-5.01,-124.94,-7.6,1.4,75.5,27.8215668991141,28.05
14,1,4.99,-109.96,-3.4,5.9,83.2,27.9811766317459,28.89
14,2,4.98,-109.96,-3.1,5.3,79.5,28.0219163522313,28.84
14,3,4.98,-109.96,1.4,5.8,81.6,27.7012834999235,28.75
14,4,4.97,-109.96,3.1,3.5,80.7,27.5114948374084,28.6
14,5,4.98,-109.96,-0.1,4.9,81.1,27.5114968530817,28.67
14,6,4.97,-109.96,-0.5,4.7,80.7,27.5518357143456,28.74
14,7,4.97,-109.96,-0.7,6,80.7,27.3515867955703,28.54
14,8,4.97,-109.96,-1.3,6.3,80.3,27.1114624666928,28
14,9,4.98,-109.96,-1.5,4.9,78.7,27.1517484894614,27.74
14,10,4.98,-109.96,-2.3,4.2,79.9,27.191436038102,27.6
14,11,4.97,-109.96,-1.4,4.7,80.7,27.1919591994956,27.6
14,12,4.98,-109.96,-0.3,6.1,81.1,26.9110176541242,27.63
14,13,4.98,-109.96,-0.3,7.1,81.1,26.7518702904552,27.7
15,1,2.08,-110.1,-6.1,3.5,86.9,26.3513941499316,26.89
15,2,2.08,-110.1,-5.4,3.2,87.3,26.1212746514392,26.88
15,3,2.08,-110.1,-1.2,3.7,89.8,25.5317637747347,26.3
15,4,2.08,-110.1,0.4,2.6,88.2,25.4518326389892,26.09
15,5,2.08,-110.11,-1.9,2.9,87.7,24.9117420516496,25.83
15,6,2.07,-110.14,-3.6,2.7,89,24.9117568146398,25.84
15,7,2.08,-110.11,-4.5,3.7,88.6,24.6712565743646,26.07
15,8,2.08,-110.11,-5.2,4,86.5,24.7511593887869,26.16
15,9,2.08,-110.1,-4.9,2.7,83.5,25.261574960436,26.24
15,10,2.08,-110.11,-4.1,1.5,84.8,25.1816905137552,26.18
15,11,2.08,-110.1,-3.5,2.5,86.5,25.0314872566706,26.09
15,12,2.08,-110.1,-2.8,4.1,86,24.171115832895,25.47
15,13,2.08,-110.1,-2.8,3.9,87.3,23.7411160839787,24.56
16,1,-1.98,-110.01,-4.9,0.8,92.2,25.961859144612,25.63
16,2,-1.98,-110,-2.2,1.5,93,25.7716775740192,25.28
16,3,-1.98,-110,-2.8,2.8,91.8,25.0513840404938,24.85
16,4,-1.98,-110.01,-0.9,0.7,91.4,25.0910218740155,25.01
16,5,-1.98,-110.01,-3.1,2.2,89.1,25.2118763767879,25.42
16,6,-1.98,-110.01,-4.4,0.3,89.1,25.4518569555038,25.59
16,7,-1.98,-110.01,-4.8,-0.1,87.5,25.4518575185495,25.66
16,8,-1.98,-110,-4.5,0.7,88.3,25.4518777688441,25.34
16,9,-1.98,-110,-3.3,-0.3,89.5,25.3317910716059,25.27
16,10,-1.98,-110,-3.5,-0.7,90.6,25.0913110262326,25.08
16,11,-1.98,-110,-2.9,-0.4,91,25.2919399884746,25.17
16,12,-1.98,-110,-2.7,0,88.3,24.8219599513225,25.11
17,1,-4.98,-109.98,-7.1,2.8,86.2,27.2816655740738,27.31
17,2,-4.98,-109.99,-6,3.5,81.7,27.4412424976528,27.13
17,3,-4.97,-109.99,-4.3,4.7,80.5,27.361551126881,27.19
17,4,-4.98,-109.99,-1.9,1.8,79.7,26.7714116257806,27.41
17,5,-4.98,-109.99,-4.5,1.4,79.7,26.9319146677405,27.46
17,6,-4.98,-109.98,-5.2,-0.9,82.1,26.6215963882129,27.19
17,7,-4.98,-109.99,-5,-0.7,83.3,26.5813327867887,26.95
17,8,-4.99,-109.99,-5.3,0,85,26.6611751530811,26.83
17,9,-4.98,-109.99,-4.6,-1,85,26.6619474414671,26.79
17,10,-4.98,-109.99,-5.4,-1,85,26.5414355113152,26.67
17,11,-4.98,-109.99,-4.6,0.7,84.1,26.2717439420235,26.56
17,12,-4.98,-109.99,-3.2,-1.2,88.2,25.8812569376344,26.64
17,13,-4.98,-109.99,-5.2,1.9,84.6,26.6212828297226,26.64
21,1,1.99,-95,-3.2,6.8,81.8,28.1219680855549,29.29
21,2,1.99,-95,-1.8,6.6,81.8,27.8814351957326,29.23
21,3,1.99,-95,0.1,6.7,82.6,27.7312936886691,29.18
21,4,1.99,-95.01,3,5.8,83,27.6512241346405,29.08
21,5,1.97,-95.01,0.5,4.5,81.3,27.6519769504364,29.14
21,6,1.98,-95,-1.4,5.6,81.8,27.7713310552333,29.3
21,7,1.98,-95,-3.4,6.4,80.9,27.6511176358613,29.36
22,1,0.11,-94.99,-4.9,4.8,88.3,25.6711050677071,27.63
22,2,0.12,-94.99,-4,4.2,91.2,25.1515535871461,27.14
22,3,0.12,-94.98,-1.9,4.2,87.9,25.0310593767297,26.56
22,4,0.1,-94.98,1.2,3.5,89,24.8317711436728,26.45
22,5,0.1,-94.98,-2.8,3,89.4,24.5112386618077,26.71
23,1,-1.97,-95.03,-3.4,2.2,90.8,25.8315865462758,25.5
23,2,-1.97,-95.03,-3.6,2.2,89.6,25.9916885904388,25.7
23,3,-1.97,-95.03,-1.7,0.7,88.4,25.711571038397,25.61
23,4,-1.98,-95.03,1,-0.2,89.6,25.2411304607848,25.42
23,5,-1.97,-95.03,-2.9,0.2,88.8,25.001255217057,25.54
23,7,-1.97,-95.02,-3.6,1.2,93.2,24.6810701872499,24.64
23,8,-1.96,-94.99,-3.5,0.1,92,24.9211632455408,24.99
23,9,-1.96,-94.99,-4.5,0.5,89.2,25.0416696683143,24.89
23,10,-1.97,-95,-3.8,1,90,25.1618014703866,25.16
23,11,-1.97,-95.02,-2.9,2.5,88,25.3612021846925,25.51
23,12,-1.98,-95.03,-3,2.3,90.4,25.4014908924871,25.51
23,13,-1.98,-95.03,-3.3,2.8,91.6,25.281476704696,25.16
24,1,-5.01,-95.07,-6.6,4.9,77.3,27.6314680019238,27.64
24,2,-5.03,-95.07,-6.4,3.5,78.1,27.5918187793726,27.63
24,3,-5.02,-95.07,-4.1,2.9,78.9,27.4010107830002,27.24
24,4,-5.01,-95.07,-1.7,1.8,81.3,26.6815195693607,27.25
24,5,-5.02,-95.07,-3.5,1.4,82.1,26.6417199785211,27.26
24,6,-5.02,-95.07,-4.6,3.6,83.3,26.5312117621945,27.14
24,7,-5.02,-95.07,-6.1,2.8,79.3,27.0410111940925,27.18
25,1,-8.02,-95.11,-7.8,3.5,75.8,27.3815783464792,27.71
25,2,-8.01,-95.1,-7,3.6,78.1,27.0315909017925,27.67
25,3,-8.01,-95.1,-6.1,3.9,83.4,26.0119828532061,27.65
25,4,-8.01,-95.1,-3.1,4.7,76.5,26.5613436083607,27.67
25,5,-8.01,-95.1,-4.6,2,78.1,26.6016999022302,27.69
25,6,-8.02,-95.1,-5.9,1.6,82.7,26.641682053756,27.66
25,7,-8.01,-95.1,-7.7,4.6,80,26.7911198458937,27.55
25,8,-8.01,-95.1,-7.2,4.5,78.1,26.6716193642365,27.5
25,9,-8.02,-95.08,-6.1,2.7,73.9,26.711932193252,27.53
25,10,-8.01,-95.1,-5.2,1.7,76.5,26.7116140448151,27.59
25,11,-8.01,-95.1,-3.9,2.1,77.3,26.6711833993462,27.61
25,12,-8.01,-95.1,-3.2,3.7,79.6,26.5218179829055,27.63
25,13,-8.01,-95.1,-3.4,3.9,78.8,26.4815737614378,27.59
27,1,2.02,179.8,-6,-3.2,85.4,28.091043816109,28.41
27,2,2.03,179.8,-6.5,-0.3,90.4,27.1915043119781,28.28
27,3,2.03,179.8,-5.6,-1.9,86.6,28.0614808656436,28.44
28,1,0.07,-179.87,-4.4,-2.5,91.9,28.0615476213687,28.09
28,2,0.08,-179.87,-4.5,-0.1,91.6,28.0616552225773,28.26
28,3,0.08,-179.87,-4.7,-1.7,92.6,28.0615063267972,28.56
28,4,0.08,-179.87,-4.8,-2.1,90.6,28.3718734722314,28.71
28,5,0.08,-179.87,-4.2,0.5,89.2,28.491930535567,28.92
28,6,0.08,-179.87,-3.7,-3,87.5,28.5312147239044,29.06
28,7,0.08,-179.87,-1.7,-2.8,89.6,28.1410230740674,29.01
28,8,0.08,-179.87,-2.3,-1.7,89.9,28.1414827058825,29.06
28,9,0.08,-179.87,-4.4,-1.3,88.2,28.4511018714521,29.36
28,10,0.08,-179.87,-4.5,-1.7,87.5,28.4514188541574,29.36
28,11,0.08,-179.87,-5.2,-1.4,90.6,27.7117658524904,29.23
28,12,0.08,-179.87,-3.6,-2.5,89.6,28.291934322512,28.97
28,13,0.08,-179.87,-4.7,-2.9,89.6,28.3319100577182,28.9
28,14,0.07,-179.87,-6.7,-1.7,89.9,28.3310481540707,28.49
29,1,-1.99,-179.87,-2.8,-1,88.3,27.6117885629036,29.09
29,2,-1.99,-179.86,-4.2,-2.5,87.9,28.0415610298931,28.99
29,3,-1.99,-179.86,-3.1,-2.9,87.1,28.391066979409,29.32
29,4,-1.98,-179.85,-3,0.9,84.6,28.5914287084215,29.34
29,5,-1.98,-179.85,-2.6,-2.2,86.2,28.3517896193145,29.58
29,6,-1.99,-179.85,-2.8,-2.2,87.9,27.2616049390663,29.38
29,7,-1.99,-179.85,-2.9,-1.6,83.7,28.591931100352,29.54
29,8,-1.99,-179.85,-4.2,-1.1,83.7,28.7412693167976,29.6
29,9,-1.99,-179.85,-2.2,-2.3,82.9,28.6616390223112,29.6
29,10,-1.99,-179.85,-4.7,-1.7,83.3,28.551453230079,29.57
